"x" "y" "z" "sx" "sy" "sz" "corxy" "corxz" "coryz"
0.2695 0.0724 0.0394 0.065 0.03 0.02 0.85 0 0
0.1615 0.0147 0.0529 0.065 0.03 0.02 0.85 0 0
-0.0865 -0.151 0.0224 0.065 0.03 0.02 0.85 0 0
0.8808 0.5284 0.1042 0.065 0.03 0.02 0.85 0 0
-0.8177 -0.9546 0 0.065 0.03 0.02 0.85 0 0
0.4069 0.0901 0.0191 0.065 0.03 0.02 0.85 0 0
0.4118 0.242 0.0292 0.065 0.03 0.02 0.85 0 0
0.4425 -0.0621 0.1424 0.065 0.03 0.02 0.85 0 0
0.8069 0.1439 0.1562 0.065 0.03 0.02 0.85 0 0
0.624 -0.1634 0.2243 0.065 0.03 0.02 0.85 0 0
0.3191 -0.6274 0.315 0.065 0.03 0.02 0.85 0 0
0.9069 0.2989 0.1663 0.065 0.03 0.02 0.85 0 0
0.6579 0.1871 0.0905 0.065 0.03 0.02 0.85 0 0
0.6224 0.0619 0.1 0.065 0.03 0.02 0.85 0 0
0.9869 0.3793 0.1601 0.065 0.03 0.02 0.85 0 0
-0.3127 -0.509 0.0128 0.065 0.03 0.02 0.85 0 0
